Order_ID,Customer_ID,Date,Product,Category,Quantity,Unit_Price,Discount_pct,Rating,Sales_Amount,Month,Month_Name,Customer_Name,City
1,1084,2024-01-01,Monitor,Electronics,3,53594.01,3.27,5.0,155524.46,1,January,Customer_1084,Madurai
2,1020,2024-01-02,Monitor,Electronics,6,10784.34,10.97,2.5,57607.79,1,January,Customer_1020,Hyderabad
3,1081,2024-01-03,Monitor,Accessories,6,22374.63,7.57,3.6,124085.22,1,January,Customer_1081,Madurai
4,1001,2024-01-04,Laptop,Electronics,3,11523.03,9.23,4.6,31378.36,1,January,Customer_1001,Chennai
5,1080,2024-01-05,Keyboard,Electronics,1,23039.9,5.9,3.3,21680.55,1,January,Customer_1080,Coimbatore
6,1079,2024-01-06,Tablet,Electronics,7,54141.56,19.08,3.7,306679.45,1,January,Customer_1079,Hyderabad
7,1079,2024-01-07,Phone,Electronics,2,72870.99,23.25,4.9,111856.97,1,January,Customer_1079,Hyderabad
8,1067,2024-01-08,Tablet,Accessories,5,16600.53,12.45,3.7,72668.82,1,January,Customer_1067,Madurai
9,1048,2024-01-09,Keyboard,Accessories,2,43595.28,16.07,2.8,73179.04,1,January,Customer_1048,Madurai
10,1071,2024-01-10,Keyboard,Electronics,1,56260.59,21.68,2.6,44063.29,1,January,Customer_1071,Coimbatore
11,1028,2024-01-11,Keyboard,Accessories,6,76257.34,24.97,4.9,343295.29,1,January,Customer_1028,Madurai
12,1079,2024-01-12,Tablet,Electronics,2,48999.81,15.34,3.2,82966.48,1,January,Customer_1079,Hyderabad
13,1056,2024-01-13,Monitor,Electronics,5,20781.0,22.24,3.8,80796.53,1,January,Customer_1056,Chennai
14,1046,2024-01-14,Phone,Electronics,5,50225.51,22.72,2.7,194071.37,1,January,Customer_1046,Madurai
15,1051,2024-01-15,Monitor,Electronics,1,25979.05,19.79,3.6,20837.8,1,January,Customer_1051,Coimbatore
16,1057,2024-01-16,Monitor,Electronics,2,78102.21,11.52,3.7,138209.67,1,January,Customer_1057,Hyderabad
17,1004,2024-01-17,Phone,Accessories,6,32274.25,2.03,3.8,189714.5,1,January,Customer_1004,Hyderabad
18,1014,2024-01-18,Phone,Accessories,4,54991.5,0.4,4.9,219086.14,1,January,Customer_1014,Coimbatore
19,1025,2024-01-19,Laptop,Accessories,1,2346.59,11.93,3.1,2066.64,1,January,Customer_1025,Coimbatore
20,1012,2024-01-20,Laptop,Electronics,7,32304.88,12.36,3.8,198183.98,1,January,Customer_1012,Madurai
21,1044,2024-01-21,Tablet,Electronics,2,70071.06,10.18,4.6,125875.65,1,January,Customer_1044,Bengaluru
22,1067,2024-01-22,Tablet,Electronics,1,49013.08,14.2,3.6,42053.22,1,January,Customer_1067,Madurai
23,1066,2024-01-23,Laptop,Electronics,7,35793.46,13.8,3.2,215977.74,1,January,Customer_1066,Bengaluru
24,1048,2024-01-24,Tablet,Electronics,1,74907.03,20.92,4.6,59236.48,1,January,Customer_1048,Madurai
25,1086,2024-01-25,Monitor,Accessories,4,68391.76,2.72,3.5,266126.02,1,January,Customer_1086,Coimbatore
26,1057,2024-01-26,Phone,Accessories,7,26116.15,5.63,3.8,172520.68,1,January,Customer_1057,Hyderabad
27,1008,2024-01-27,Phone,Accessories,5,43791.6,19.83,4.9,175538.63,1,January,Customer_1008,Coimbatore
28,1077,2024-01-28,Phone,Accessories,5,39441.03,21.2,3.0,155397.66,1,January,Customer_1077,Bengaluru
29,1058,2024-01-29,Tablet,Accessories,3,50760.1,24.87,3.3,114408.19,1,January,Customer_1058,Chennai
30,1064,2024-01-30,Phone,Accessories,1,27061.85,21.82,2.6,21156.95,1,January,Customer_1064,Madurai
31,1057,2024-01-31,Monitor,Electronics,5,19914.3,22.25,3.5,77416.84,1,January,Customer_1057,Hyderabad
32,1056,2024-02-01,Phone,Accessories,7,73057.41,12.495000000000001,3.0,471205.68,2,February,Customer_1056,Chennai
33,1010,2024-02-02,Tablet,Accessories,1,73948.02,10.04,4.2,66523.64,2,February,Customer_1010,Chennai
34,1056,2024-02-03,Phone,Accessories,7,67544.17,6.7,3.0,441130.97,2,February,Customer_1056,Chennai
35,1080,2024-02-04,Laptop,Accessories,3,78267.25,15.16,4.2,199205.8,2,February,Customer_1080,Coimbatore
36,1031,2024-02-05,Monitor,Electronics,4,59726.83,23.47,3.2,182835.77,2,February,Customer_1031,Hyderabad
37,1061,2024-02-06,Phone,Accessories,2,61291.04,8.62,3.4,112015.5,2,February,Customer_1061,Madurai
38,1004,2024-02-07,Phone,Electronics,5,61125.91,13.93,3.4,263055.35,2,February,Customer_1004,Hyderabad
39,1035,2024-02-08,Monitor,Accessories,2,38708.31,7.41,4.3,71680.05,2,February,Customer_1035,Madurai
40,1044,2024-02-09,Keyboard,Accessories,2,36787.95,4.24,3.7,70456.28,2,February,Customer_1044,Bengaluru
41,1099,2024-02-10,Monitor,Accessories,6,19597.99,4.88,3.4,111849.65,2,February,Customer_1099,Coimbatore
42,1022,2024-02-11,Keyboard,Electronics,1,51763.13,1.45,4.6,51012.56,2,February,Customer_1022,Bengaluru
43,1028,2024-02-12,Keyboard,Accessories,4,23500.95,23.73,3.9,71696.7,2,February,Customer_1028,Madurai
44,1041,2024-02-13,Tablet,Accessories,5,20995.77,10.07,3.0,94407.48,2,February,Customer_1041,Chennai
45,1100,2024-02-14,Monitor,Electronics,1,47083.93,20.85,4.8,37266.93,2,February,Customer_1100,Chennai
46,1086,2024-02-15,Phone,Electronics,3,33093.6,17.03,3.4,82373.28,2,February,Customer_1086,Coimbatore
47,1004,2024-02-16,Tablet,Accessories,3,17899.1,4.8,2.6,51119.83,2,February,Customer_1004,Hyderabad
48,1024,2024-02-17,Tablet,Accessories,5,65376.45,4.39,3.7,312532.12,2,February,Customer_1024,Madurai
49,1083,2024-02-18,Keyboard,Accessories,7,68915.31,20.3,2.8,384478.51,2,February,Customer_1083,Chennai
50,1006,2024-02-19,Keyboard,Accessories,6,13832.11,6.62,3.1,77498.55,2,February,Customer_1006,Madurai
51,1086,2024-02-20,Tablet,Electronics,2,1096.81,22.83,4.4,1692.82,2,February,Customer_1086,Coimbatore
52,1029,2024-02-21,Monitor,Accessories,1,27222.33,3.5,2.8,26269.55,2,February,Customer_1029,Hyderabad
53,1092,2024-02-22,Phone,Electronics,1,63902.11,16.94,4.5,53077.09,2,February,Customer_1092,Madurai
54,1030,2024-02-23,Keyboard,Accessories,5,67214.32,20.36,4.8,267647.42,2,February,Customer_1030,Hyderabad
55,1044,2024-02-24,Tablet,Electronics,2,11497.16,5.88,4.0,21642.25,2,February,Customer_1044,Bengaluru
56,1067,2024-02-25,Tablet,Accessories,2,62059.7,6.91,4.3,115542.75,2,February,Customer_1067,Madurai
57,1013,2024-02-26,Monitor,Electronics,6,9698.48,24.11,4.3,44161.06,2,February,Customer_1013,Coimbatore
58,1056,2024-02-27,Monitor,Accessories,7,31509.98,6.61,5.0,205990.19,2,February,Customer_1056,Chennai
59,1051,2024-02-28,Laptop,Electronics,6,79889.46,10.75,3.4,427808.06,2,February,Customer_1051,Coimbatore
60,1079,2024-02-29,Phone,Electronics,2,15810.97,10.81,2.9,28203.61,2,February,Customer_1079,Hyderabad
61,1100,2024-03-01,Laptop,Accessories,5,12740.1,6.33,3.8,59668.26,3,March,Customer_1100,Chennai
62,1067,2024-03-02,Monitor,Electronics,5,34112.63,19.39,3.8,137490.96,3,March,Customer_1067,Madurai
